source,target,type,source_type,target_type,0
410,2,reporta_a,cuadra,health_post,0.11574534
411,2,reporta_a,cuadra,health_post,0.12609194
412,2,reporta_a,cuadra,health_post,0.13427144
413,2,reporta_a,cuadra,health_post,0.13842879
414,2,reporta_a,cuadra,health_post,0.14103524
415,2,reporta_a,cuadra,health_post,0.1095277
416,2,reporta_a,cuadra,health_post,0.12651728
417,2,reporta_a,cuadra,health_post,0.14218967
418,2,reporta_a,cuadra,health_post,0.15583025
419,2,reporta_a,cuadra,health_post,0.16605894
420,2,reporta_a,cuadra,health_post,0.15647519
421,2,reporta_a,cuadra,health_post,0.1735819
422,2,reporta_a,cuadra,health_post,0.1704236
423,2,reporta_a,cuadra,health_post,0.1674023
424,2,reporta_a,cuadra,health_post,0.16201298
425,2,reporta_a,cuadra,health_post,0.19238271
426,2,reporta_a,cuadra,health_post,0.20454203
427,2,reporta_a,cuadra,health_post,0.17982502
428,2,reporta_a,cuadra,health_post,0.18230294
429,2,reporta_a,cuadra,health_post,0.18271486
430,2,reporta_a,cuadra,health_post,0.18918598
431,2,reporta_a,cuadra,health_post,0.13888466
432,2,reporta_a,cuadra,health_post,0.21758077
433,2,reporta_a,cuadra,health_post,0.20185764
434,2,reporta_a,cuadra,health_post,0.21006863
435,2,reporta_a,cuadra,health_post,0.21471922
436,2,reporta_a,cuadra,health_post,0.1919796
437,2,reporta_a,cuadra,health_post,0.20220812
438,2,reporta_a,cuadra,health_post,0.18207674
439,2,reporta_a,cuadra,health_post,0.21325426
440,2,reporta_a,cuadra,health_post,0.2383131
441,2,reporta_a,cuadra,health_post,0.20456307
442,2,reporta_a,cuadra,health_post,0.14108856
443,2,reporta_a,cuadra,health_post,0.21231368
444,2,reporta_a,cuadra,health_post,0.2517453
445,2,reporta_a,cuadra,health_post,0.24400379
446,2,reporta_a,cuadra,health_post,0.24075039
447,2,reporta_a,cuadra,health_post,0.23928471
448,2,reporta_a,cuadra,health_post,0.27061635
449,2,reporta_a,cuadra,health_post,0.26652348
450,2,reporta_a,cuadra,health_post,0.27884755
451,2,reporta_a,cuadra,health_post,0.30493236
452,2,reporta_a,cuadra,health_post,0.30087563
453,2,reporta_a,cuadra,health_post,0.14551626
454,2,reporta_a,cuadra,health_post,0.3286068
455,2,reporta_a,cuadra,health_post,0.32179192
456,2,reporta_a,cuadra,health_post,0.27719185
457,2,reporta_a,cuadra,health_post,0.2858536
458,2,reporta_a,cuadra,health_post,0.29495645
459,2,reporta_a,cuadra,health_post,0.30810928
460,2,reporta_a,cuadra,health_post,0.3133916
461,2,reporta_a,cuadra,health_post,0.32733414
462,2,reporta_a,cuadra,health_post,0.15106525
463,2,reporta_a,cuadra,health_post,0.15818298
464,2,reporta_a,cuadra,health_post,0.16646074
465,2,reporta_a,cuadra,health_post,0.15050803
466,2,reporta_a,cuadra,health_post,0.19858587
467,2,reporta_a,cuadra,health_post,0.22476186
468,2,reporta_a,cuadra,health_post,0.22397235
469,2,reporta_a,cuadra,health_post,0.22368357
470,2,reporta_a,cuadra,health_post,0.22401953
471,2,reporta_a,cuadra,health_post,0.22460048
472,2,reporta_a,cuadra,health_post,0.22555873
473,2,reporta_a,cuadra,health_post,0.24489069
474,2,reporta_a,cuadra,health_post,0.2440831
475,2,reporta_a,cuadra,health_post,0.24354865
476,2,reporta_a,cuadra,health_post,0.24353544
477,2,reporta_a,cuadra,health_post,0.21040882
478,2,reporta_a,cuadra,health_post,0.24382076
479,2,reporta_a,cuadra,health_post,0.24451008
480,2,reporta_a,cuadra,health_post,0.26380527
481,2,reporta_a,cuadra,health_post,0.26336944
482,2,reporta_a,cuadra,health_post,0.26302445
483,2,reporta_a,cuadra,health_post,0.26324004
484,2,reporta_a,cuadra,health_post,0.26360455
485,2,reporta_a,cuadra,health_post,0.28410846
486,2,reporta_a,cuadra,health_post,0.28321993
487,2,reporta_a,cuadra,health_post,0.2089491
488,2,reporta_a,cuadra,health_post,0.28278366
489,2,reporta_a,cuadra,health_post,0.2824952
490,2,reporta_a,cuadra,health_post,0.28294522
491,2,reporta_a,cuadra,health_post,0.2836205
492,2,reporta_a,cuadra,health_post,0.29916096
493,2,reporta_a,cuadra,health_post,0.29842746
494,2,reporta_a,cuadra,health_post,0.29891777
495,2,reporta_a,cuadra,health_post,0.29962546
496,2,reporta_a,cuadra,health_post,0.20833871
497,2,reporta_a,cuadra,health_post,0.30972767
498,2,reporta_a,cuadra,health_post,0.31099463
499,2,reporta_a,cuadra,health_post,0.31703702
500,2,reporta_a,cuadra,health_post,0.30710748
501,2,reporta_a,cuadra,health_post,0.20087297
502,2,reporta_a,cuadra,health_post,0.1940287
503,2,reporta_a,cuadra,health_post,0.18699172
504,2,reporta_a,cuadra,health_post,0.18006404
505,2,reporta_a,cuadra,health_post,0.18071344
506,2,reporta_a,cuadra,health_post,0.19341172
507,2,reporta_a,cuadra,health_post,0.20802858
508,2,reporta_a,cuadra,health_post,0.19477296
509,2,reporta_a,cuadra,health_post,0.2092967
510,1,reporta_a,cuadra,health_post,0.20481364
511,1,reporta_a,cuadra,health_post,0.24162915
512,2,reporta_a,cuadra,health_post,0.15969877
513,2,reporta_a,cuadra,health_post,0.15005283
514,1,reporta_a,cuadra,health_post,0.23827389
515,1,reporta_a,cuadra,health_post,0.25356784
516,1,reporta_a,cuadra,health_post,0.2726837
517,1,reporta_a,cuadra,health_post,0.26873717
518,2,reporta_a,cuadra,health_post,0.28689978
519,2,reporta_a,cuadra,health_post,0.27994183
520,2,reporta_a,cuadra,health_post,0.26544693
521,2,reporta_a,cuadra,health_post,0.24902795
522,2,reporta_a,cuadra,health_post,0.23301841
523,1,reporta_a,cuadra,health_post,0.21984667
524,2,reporta_a,cuadra,health_post,0.22245201
525,2,reporta_a,cuadra,health_post,0.2760458
526,2,reporta_a,cuadra,health_post,0.26068628
527,2,reporta_a,cuadra,health_post,0.24401195
528,2,reporta_a,cuadra,health_post,0.22788253
529,2,reporta_a,cuadra,health_post,0.21558999
530,2,reporta_a,cuadra,health_post,0.28159875
